Family,Species,Common.name,Biogeographical.affinity,Reproductive.mode,Lmax..cm.,Trophic.guild,Trophic.level,Habitat..Horizontal.,Habitat..vertical.,Source
Nemichthyidae,Nemichthys scolopaceus,Slender snipe eel,Atlantic,Leptocephalus larvae,130,Planktivore,3.5,Slope,Bathypelagic,FishBase
Paralepididae,Paralepis coregonoides,Sharpchin barracudina,Atlantic,Planktonic eggs,30,Piscivore,4.5,Oceanic,Mesopelagic,FishBase
Gadidae (Gadinae),Gadiculus argenteus,Silvery pout,Lusitanian,Planktonic eggs,15,Planktivore,3.5,Slope,Pelagic,Yang (1982a)
Gadidae (Gadinae),Gadus morhua,Cod,Boreal,Planktonic eggs,190,Piscivore,4.4,Shelf,Demersal,Yang (1982a)
Gadidae (Gadinae),Melanogrammus aeglefinus,Haddock,Boreal,Planktonic eggs,112,Benthivore,4.1,Shelf,Demersal,Yang (1982a)
Gadidae (Gadinae),Merlangius merlangus,Whiting,Lusitanian,Planktonic eggs,70,Piscivore,4.4,Shelf,Demersal,Yang (1982a)
Gadidae (Gadinae),Micromesistius poutassou,Blue whiting,Atlantic,Planktonic eggs,47,Planktivore,4,Slope,Mesopelagic,Yang (1982a)
Gadidae (Gadinae),Pollachius pollachius,Pollack,Boreal,Planktonic eggs,130,Piscivore,4.2,Shelf,Demersal,Yang (1982a)
Gadidae (Gadinae),Pollachius virens,Saithe,Boreal,Planktonic eggs,120,Piscivore,4.4,Shelf,Demersal,Yang (1982a)
Gadidae (Gadinae),Trisopterus esmarkii,Norway pout,Boreal,Planktonic eggs,26,Bentho-piscivore,3.2,Outer shelf,Benthopelagic,Yang (1982a)
Gadidae (Gadinae),Trisopterus luscus,Bib,Lusitanian,Planktonic eggs,45,Benthivore,3.7,Inner shelf,Demersal,Yang (1982a)
Gadidae (Gadinae),Trisopterus minutus,Poor cod,Lusitanian,Planktonic eggs,26,Benthivore,3.8,Shelf,Demersal,Yang (1982a)
Gadidae (Lotinae),Brosme brosme,Tusk,Boreal,Planktonic eggs,100,Benthivore,4,Outer shelf,Demersal,Yang (1982a)
Gadidae (Lotinae),Ciliata mustela,Five-bearded rockling,Boreal,Planktonic eggs,45,Benthivore,3.5,Shelf,Demersal,Yang (1982a)
Gadidae (Lotinae),Ciliata septentrionalis,Northern rockling,Boreal,Planktonic eggs,17,Benthivore,3.5,Shelf,Demersal,Yang (1982a)
Gadidae (Lotinae),Enchelyopus cimbrius,Four-bearded rockling,Boreal,Planktonic eggs,41,Benthivore,3.5,Shelf,Demersal,Yang (1982a)
Gadidae (Lotinae),Gaidropsarus macrophthalmus,Big-eyed rockling,Lusitanian,Planktonic eggs,10,Benthivore,3.5,Outer shelf,Demersal,Uncertain[3]
Gadidae (Lotinae),Gaidropsarus mediterraneus,Shore rockling,Lusitanian,Planktonic eggs,25,Benthivore,3.4,Shelf,Demersal,Wheeler (1978)
Gadidae (Lotinae),Gaidropsarus vulgaris,Three-bearded rockling,Lusitanian,Planktonic eggs,43,Benthivore,3.3,Shelf,Demersal,Yang (1982a)
Gadidae (Lotinae),Molva dypterygia,Blue ling,Boreal,Planktonic eggs,130,Piscivore,4.5,Slope,Demersal,Yang (1982a)
Gadidae (Lotinae),Molva molva,Common ling,Boreal,Planktonic eggs,200,Piscivore,4.3,Slope,Demersal,Yang (1982a)
Gadidae (Lotinae),Phycis blennoides,Greater forkbeard,Lusitanian,Planktonic eggs,75,Bentho-piscivore,3.7,Outer shelf,Demersal,Yang (1982a)
Gadidae (Lotinae),Raniceps raninus,Tadpole fish,Boreal,Planktonic eggs,30,Benthivore,3.8,Inner shelf,Demersal,Yang (1982a)
Merlucciidae,Merluccius merluccius,European hake,Lusitanian,Planktonic eggs,120,Piscivore,4.4,Shelf,Demersal,Yang (1982a)
Macrouridae,Caelorinchus caelorhincus,Hollow nosed rattail,Atlantic,Planktonic eggs,38,Benthivore,3.6,Slope,Bathydemersal,Yang (1982a)
Macrouridae,Coryphaenoides rupestris,Roundhead rattail,Boreal,Planktonic eggs,150,Benthivore,3.5,Slope,Bathydemersal,Yang (1982a)
